timestamp,text,candidate,likes,reposts,comments
2026-06-10 08:05:00,"Netanyahu looks stronger in the latest Israeli election discussion",Netanyahu,42,7,11
2026-06-10 08:17:00,"Bibi is gaining momentum with voters this week",Netanyahu,58,12,9
2026-06-10 08:31:00,"נתניהו נראה יציב אבל הציבור עדיין לא בטוח",Netanyahu,34,5,6
2026-06-10 08:44:00,"Naftali Bennett gives a confident interview about security and economy",Bennett,29,6,5
2026-06-10 09:02:00,"בנט מציג קו ברור וזה מחזק אותו לקראת הבחירות בישראל",Bennett,51,9,13
2026-06-10 09:18:00,"Bennett campaign still feels weak compared with Netanyahu",Bennett,18,3,4
2026-06-10 09:36:00,"Bibi supporters are very active today",Netanyahu,66,14,20
2026-06-10 09:49:00,"בחירות בישראל יהיו צמודות מאוד הפעם",General,25,4,7
2026-06-10 10:07:00,"Netanyahu faces criticism after the new poll",Netanyahu,37,8,15
2026-06-10 10:21:00,"בנט מקבל תגובות חיוביות אחרי הנאום",Bennett,44,7,8
2026-06-10 10:39:00,"Bibi may still be the safest choice for many voters",Netanyahu,48,10,12
2026-06-10 10:55:00,"Naftali Bennett needs a stronger message to win",Bennett,21,4,6
2026-06-10 11:08:00,"נתניהו סופג ביקורת קשה ברשתות",Netanyahu,31,6,18
2026-06-10 11:24:00,"בנט מתחזק בסקרים וזה מעניין מאוד",Bennett,53,11,14
2026-06-10 11:42:00,"Israeli election polls are still unstable",General,19,2,3
2026-06-10 12:03:00,"Netanyahu has experience but some voters want change",Netanyahu,40,6,10
2026-06-10 12:19:00,"Bennett sounds practical and focused today",Bennett,46,8,7
2026-06-10 12:37:00,"ביבי חזק בקרב מצביעי הימין",Netanyahu,62,13,16
2026-06-10 12:51:00,"בנט עדיין מתקשה לשכנע חלק מהציבור",Bennett,24,5,9
2026-06-10 13:06:00,"The Netanyahu Bennett race is getting closer",General,35,7,11
2026-06-10 13:22:00,"נתניהו מוביל בדיון אבל לא בפער גדול",Netanyahu,47,9,12
2026-06-10 13:39:00,"Bennett could surprise if turnout changes",Bennett,33,6,6
2026-06-10 13:57:00,"בחירות בישראל מרגישות פתוחות לגמרי",General,28,4,8
2026-06-10 14:11:00,"Bibi had a bad media day after tough questions",Netanyahu,39,8,19
2026-06-10 14:28:00,"Naftali Bennett gets praise for a calm message",Bennett,55,12,10
2026-06-10 14:46:00,"נתניהו חזק אבל יש עייפות ממנו",Netanyahu,43,7,13
2026-06-10 15:04:00,"בנט נראה אמין בעיני מצביעים מתלבטים",Bennett,49,9,9
2026-06-10 15:18:00,"Israeli election debate did not change much",General,17,3,4
2026-06-10 15:36:00,"Netanyahu campaign message is clear and effective",Netanyahu,57,10,12
2026-06-10 15:53:00,"Bennett campaign lacks energy today",Bennett,20,2,5
2026-06-10 16:10:00,"ביבי מקבל הרבה תמיכה בקבוצות פוליטיות",Netanyahu,64,15,21
2026-06-10 16:24:00,"בנט מקבל ביקורת על חוסר בהירות",Bennett,26,5,12
2026-06-10 16:41:00,"Netanyahu and Bennett both remain competitive",General,30,4,6
2026-06-10 16:58:00,"נתניהו איבד קצת אמון אצל מצביעים צעירים",Netanyahu,22,4,10
2026-06-10 17:13:00,"Naftali Bennett has a strong chance if the race narrows",Bennett,45,8,9
2026-06-10 17:29:00,"בחירות בישראל שוב מתמקדות בביטחון וכלכלה",General,32,5,7
2026-06-10 17:47:00,"Bibi still dominates the political conversation",Netanyahu,59,11,14
2026-06-10 18:02:00,"בנט מציע שינוי וזה נשמע חיובי",Bennett,52,10,11
2026-06-10 18:19:00,"Netanyahu criticism is growing after the interview",Netanyahu,36,6,16
2026-06-10 18:34:00,"Bennett support is stable but not explosive",Bennett,27,4,6
2026-06-10 18:52:00,"The Israeli election market may move after the next poll",General,23,3,5
2026-06-10 19:07:00,"נתניהו משדר ניסיון וזה עובד לטובתו",Netanyahu,61,12,15
2026-06-10 19:23:00,"בנט צריך קמפיין חזק יותר כדי לנצח",Bennett,29,5,8
2026-06-10 19:40:00,"Bibi looks confident in tonight's event",Netanyahu,50,9,10
2026-06-10 19:56:00,"Naftali Bennett had a disappointing answer on policy",Bennett,21,3,11
2026-06-10 20:12:00,"בחירות בישראל נשארות ללא הכרעה ברורה",General,18,2,4
2026-06-10 20:28:00,"Netanyahu gets positive reactions from his base",Netanyahu,54,10,13
2026-06-10 20:44:00,"בנט מתחזק בקרב מצביעים שרוצים שינוי",Bennett,56,11,12
2026-06-10 21:01:00,"Bibi faces a difficult path if turnout is low",Netanyahu,33,6,9
2026-06-10 21:18:00,"Bennett looks serious but the race is still hard",Bennett,34,5,7
2026-06-10 21:35:00,"נתניהו ובנט שניהם במאבק צמוד",General,27,4,6
2026-06-10 21:52:00,"Israeli election sentiment feels mixed tonight",General,16,2,3
